3 150 596 3 535 4206 54 0 24 402 364 704 283 110 2 444 506 12 359 672 2 4009 6148 54 0 9035 248 4010 1 0 43 24 10 296 11 22 2008 4 43 3 6 3665 31 7 12 3666 8 150 30 11 94 116 124 195 39 751 36 169 79 15 132 4 785 54 0 137 200 248 379 15 1736 124 80 283 14 3 72 16 24 1 3 66 102 8 73 2 337 180 4 85 13 0 9035 17 1832 46 374 487 1 17 1832 84 118 5590 83 11 78 5591 248 718 38 2 483 44 1009 1832 111 3278 111 3279 111 7741 0 248 17 108 32 7 1196 0 88 14 3 1667 12 359 10 163 396 138 4 491 2 2841 5 487 27 11 3 61 0 265 248 26 204 547 58 6785 172 600 4463 511 177 33 369 935 63 20 845 122 0 771 1 7742 1557 150 160 4 96 41 0 626 181	5
88 990 4 49 4 2842 23 4207 1 3402 17 472 457 1168 185 15 45 247 996 5 1052 41 5 0 601 11 17 472 1 43 337 733 5 0 284 215 262 1052 965 7 256 0 509 5 283 59 691 13 59 2119 35 195 2 3824 656 17 117 594 262 965 175 9036 276 9 109 18 2 1197 119 92 3040 1 97 170 1373 5 215 0 170 846 5 0 1052 63 28 719 996 9 246 11 150 1893 1 2 528 5 1402 0 870 127 41 4 54 2 74 110 7743 638 229 484 17 19 6149 1470 316 168 6 39 353 82 111 22 2120 145 1 17 131 12 152 32 255 2334 3 153 233 15 134 10 2219 35 36 9 46 457 1168 18 44 21 1123 90 33 29 1 3 69 30 64	5
109 42 1275 13 0 4208 1 359 16 24 7 0 337 1276 1766 761 786 20 479 11 8 6 0 4464 3535 42 18 489 9 336 10 1964 1068 1290 23 667 611 0 589 185 15 107 59 184 20 414 13 0 957 1402 517 673 1 3 806 0 5592 95 13 1291 209 543 1417 22 55 387 201 13 2843 11 6 40 210 359 22 0 787 3280 13 6150 3 371 168 1 38 0 29 6 133 32 28 68 40 727 1 612 205 1 215 1796 32 7 58 1537 114 11 3281 1263 6151 31 80 31 55 209 386 32 7 140 2 74 677 10 0 64 2277 369 1102 814 47 3667 3041 1102 814 1080 31 80 31 640 2335 1149 1 78 488 233 2 568 4 4209 677 9 2 144 7744 184	5
3 393 30 2740 1 1292 11 16 7 21 2 199 1010 206 3 1767 4 102 0 206 7 2 25 24 10 2 4210 9 747 552 940 546 1 1081 1053 9 246 220 9 1217 1053 391 19 4 49 1512 10 2 4210 8 7 33 1626 13 369 1250 16 206 61 2844	3
1016 72 16 206 19 62 2 2009 9 6152 14 6 40 433 13 0 1306 120 1045 87 187 504 10 2741 1264 93 73 871 388 57 3042 290 87 11 149 32 711 136 2220 18 0 1236 38 28 1557 41 5 2 250 231 18 170 553 1689 26 46 206 15 619 4 413 37 11 59 181 1557 311 958 872 2741 10 7745 376 51 36 3043 3282 291 16 6 92 1833 290 87 1925 39 7746 38 46 2010 386 4 5136 0 1161 156 111 670 4 435 0 78 206 308 84 4 1374 2 5137 9 37 463 93 3283 38 28 1557 41 5 0 696 9037 2221 0 1236 67 1150 775 4211 329 3 1513 11 0 1236 1514 3403 696 3825 18 0 265 156 250 231 18 0 4212 26 46 206 3404 4 157 8 218 19 3403 48 18 0 1236 3825 93 140 3283 38 799 28 1557 41 111 505 3 845 8 1218 47 43 5 59 5593 1 8 6 1169 75	2
105 122 131 2 1439 1 521 4 30 570 176 4 0 561 200 4011 40 1650 21 4 954 8 6 7747 3282 291 11 156 3 242 4 30 570 1512 14 0 3044 1737 6 11 16 6 38 11 6 667 896 4 1668 80 3 131 1439 14 93 39 131 193 1737 11 20 480 4 30 2 1403 530 4 407 1512 3 428 8 129 216 67 79 12 326 1690 46 66	2
4465 679 2946 1219 4 1103 0 192 23 40 25 1 0 112 6 40 37 495 13 55 6786 0 422 6 144 1 210 31 10 244 28 337 873 197 214 506 772 18 0 380 28 68 144 1 22 2 382 679 2 2845 54 4213 0 382 6 322 14 0 2845 6 89 3 4012 0 460 112 858 4 2 388 1 251 41 11 17 108 389 5 0 2561 941 42 208 124 237 674 9 116 44 1220 4466	3
 4467 9 0 2846 179 39 415 179 0 206 3668 1330 16 613 3 19 111 4214 9 0 3 153 348 728 8 297 35 59 220 9 55 322 4759 3284 26 16 7 59 613 4 49 151 202 1 30 5594 12 223	1
20 404 997 0 137 98 196 601 236 92 0 6153 1454 8 7 255 169 123 1182 0 137 6153 518 1 1375 34 0 2093 6154 98 46 57 7 33 20 97 2 130 1 135 3 218 19 1183 116 4 107 2 130 47 2 137 1894 426 98 906 660 142 13 137 1894 689 1 1277 8 458 64 3285 5 2742 13 12 4013 9038 1307 44 6 0 116 2651 660 142	3
26 4468 2 568 4 9 52 223 1627 364 236 64 2562 87 4 507 1 0 5 193 548 5 2121 0 276 5595 5 1 6787 865 52 223 23 140 752 3536 236 529 14 123 12 200 851 19 9 0 5 2 74 1601 1 1418 47 12 222 1025 72 3 19 47 0 200 507 1895 874 9 5138 79 36 169 1 60 1926 10 544 4215 10 544 439 2 137 7748 521 4469 620 7749 440 440 440 82 90 4469 507 10 12 3826 3 231 0 209 328 507 194 1 0 5139 507 2278 1 0 284 131 225 168 6 1293 1 289 30 64 4 96 0 709 0 98 7 2 554 240 266 5 2 129 4470 928 13 2 125 370 312 1 2 7750 321 36 2652 1 36 1628 49 1082 96 8 15 39 391 1576 10 72	5
